Name,Sign
Denise Richards,Aquarius
Ed Sheeran,Aquarius
Karol G,Aquarius
J-Hope,Aquarius
Alicia Keys,Aquarius
Mia Khalifa,Aquarius
Tom Hiddleston,Aquarius
Dr. Dre,Aquarius
Kid Cudi,Aquarius
Elizabeth Olsen,Aquarius
James Dean,Aquarius
Ronald Reagan,Aquarius
Maluma (singer),Aquarius
Virginia Woolf,Aquarius
Sharon Tate,Aquarius
Kelly Rowland,Aquarius
Bobby Brown,Aquarius
Ashton Kutcher,Aquarius
Park Chaeyoung,Aquarius
John Travolta,Aquarius
Yoko Ono,Aquarius
Brandy Norwood,Aquarius
Blueface,Aquarius
Neymar,Aquarius
Axl Rose,Aquarius
Lisa Marie Presley,Aquarius
Taylor Lautner,Aquarius
Joseph Quinn,Aquarius
Camila Alves,Aquarius
Paul Newman,Aquarius
Michael C. Hall,Aquarius
Mariska Hargitay,Aquarius
Ronda Rousey,Aquarius
Ester Expósito,Aquarius
Chris Rock,Aquarius
Eiza González,Aquarius
Toni Morrison,Aquarius
Avan Jogia,Aquarius
Brandon Lee,Aquarius
Bill Maher,Aquarius
Alex Jones (radio host),Aquarius
Elizabeth Holmes,Aquarius
Lord Byron,Aquarius
Joseph Gordon-Levitt,Aquarius
India Westbrooks,Aquarius
Amal Clooney,Aquarius
Gucci Mane,Aquarius
Rosamund Pike,Aquarius
Jerry Trainor,Aquarius
Kerry Washington,Aquarius
Jenifer Lewis,Aquarius
Geena Davis,Aquarius
Elijah Wood,Aquarius
Chloë Grace Moretz,Aquarius
Phil Collins,Aquarius
Bella Poarch,Aquarius
Gabriel Macht,Aquarius
Klay Thompson,Aquarius
Gabbie Hanna,Aquarius
Rainn Wilson,Aquarius
Christina Ricci,Aquarius
Isla Fisher,Aquarius
Rosa Parks,Aquarius
Jen-Hsun Huang,Aquarius
Franklin D. Roosevelt,Aquarius
Tiffani Thiessen,Aquarius
Yara Shahidi,Aquarius
Khalid (singer),Aquarius
Draya Michele,Aquarius
Robbie Williams,Aquarius
Ariel Winter,Aquarius
Paul Auster,Aquarius
Tom Selleck,Aquarius
Rihanna,Pisces
Joe Alwyn,Pisces
Kurt Cobain,Pisces
Justin Bieber,Pisces
Madison Beer,Pisces
"Tyler, the Creator",Pisces
Hozier (musician),Pisces
Olivia Rodrigo,Pisces
Jhene Aiko,Pisces
Grimes (musician),Pisces
Albert Einstein,Pisces
Benny Blanco,Pisces
Elizabeth Taylor,Pisces
Steve Jobs,Pisces
Camila Cabello,Pisces
Jon Bon Jovi,Pisces
Drew Barrymore,Pisces
Angela White,Pisces
Bad Bunny,Pisces
Min Yoongi,Pisces
Emily Blunt,Pisces
Millie Bobby Brown,Pisces
Kesha,Pisces
Nikola Jokić,Pisces
Erykah Badu,Pisces
Eva Mendes,Pisces
Matthew Gray Gubler,Pisces
Barron Trump,Pisces
Jack Harlow,Pisces
Terrence Howard,Pisces
Jwoww,Pisces
Kristin Davis,Pisces
Jensen Ackles,Pisces
Sammi Giancola,Pisces
Stephen Curry,Pisces
Adam Levine,Pisces
George Harrison,Pisces
"Floyd Mayweather, Jr.",Pisces
Johnny Cash,Pisces
Simone Biles,Pisces
Kaya Scodelario,Pisces
Tony Robbins,Pisces
Becky G,Pisces
Shaquille O'Neal,Pisces
Oscar Isaac,Pisces
YG (rapper),Pisces
Bernard Arnault,Pisces
Harvey Weinstein,Pisces
Victoria Justice,Pisces
Fred Rogers,Pisces
Cindy Crawford,Pisces
Nina Simone,Pisces
Lily Collins,Pisces
Jake Webber,Pisces
George Washington,Pisces
Daniel Craig,Pisces
Bruce Willis,Pisces
Alexandra Daddario,Pisces
Kyle MacLachlan,Pisces
Trevor Noah,Pisces
Robert Kardashian,Pisces
Alan Rickman,Pisces
Jodie Comer,Pisces
Chris Martin,Pisces
Bryan Cranston,Pisces
Javier Bardem,Pisces
Luka Doncic,Pisces
Kurt Russell,Pisces
Rozonda Thomas,Pisces
Alia Bhatt,Pisces
Queen Latifah,Pisces
Sam Taylor-Johnson,Pisces
Lupita Nyong'o,Pisces
Olivia Wilde,Pisces
Johnny Knoxville,Pisces
Jennifer Love Hewitt,Pisces
Stormy Daniels,Pisces
Rob Kardashian,Pisces
Jessica Biel,Pisces
Kit Connor,Pisces
Sharon Stone,Pisces
Rick Rubin,Pisces
Aamir Khan,Pisces
Dakota Fanning,Pisces
Kathy Hilton,Pisces
Taylor Hill (model),Pisces
Sophie Turner,Pisces
Laura Prepon,Pisces
Lauren Graham,Pisces
Jayson Tatum,Pisces
Miles Teller,Pisces
Jamie Dimon,Pisces
Rebel Wilson,Pisces
Kat Von D,Pisces
Joel Embiid,Pisces
Chelsea Handler,Pisces
Bryce Dallas Howard,Pisces
Common (rapper),Pisces
Eva Longoria,Pisces
Rachel Weisz,Pisces
