Name,Sign
Troye Sivan,Gemini
Roman Reigns,Gemini
Courteney Cox,Gemini
Kwon Soonyoung,Gemini
Colin Farrell,Gemini
Gunna (rapper),Gemini
Clint Eastwood,Gemini
James Charles,Gemini
André 3000,Gemini
Russell Brand,Gemini
Scott Disick,Gemini
Lucy Hale,Gemini
Iggy Azalea,Gemini
Bill Burr,Gemini
Morgan Freeman,Gemini
Don Toliver,Gemini
Ashley Olsen,Gemini
Judy Garland,Gemini
Mary-Kate Olsen,Gemini
Alanis Morissette,Gemini
Zoe Saldana,Gemini
Michael Cera,Gemini
Jorja Smith,Gemini
Kylie Minogue,Gemini
Chino Moreno,Gemini
Trippie Redd,Gemini
Anne Frank,Gemini
Theresa Caputo,Gemini
Liam Neeson,Gemini
Steve Lacy (guitarist),Gemini
Michael J. Fox,Gemini
Heidi Klum,Gemini
Hugh Laurie,Gemini
Novak Djokovic,Gemini
Kat Dennings,Gemini
Peter Dinklage,Gemini
Riley Keough,Gemini
beabadoobee,Gemini
Tom Holland,Gemini
Xi Jinping,Gemini
Dave Franco,Gemini
Adam Garcia,Gemini
Lionel Richie,Gemini
"Prince Philip, Duke of Edinburgh",Gemini
Garrett Watts,Gemini
Richard Madden,Gemini
Joan Rivers,Gemini
Cameron Boyce,Gemini
Rafael Nadal,Gemini
Amy Schumer,Gemini
Salman Rushdie,Gemini
Josh Dun,Gemini
Gorilla Monsoon,Gemini
Noel Gallagher,Gemini
Nick Drake,Gemini
Bill Hader,Gemini
Lana Del Rey,Cancer
O. J. Simpson,Cancer
Ariana Grande,Cancer
Post Malone,Cancer
Selena Gomez,Cancer
Princess Diana,Cancer
Elon Musk,Cancer
Margot Robbie,Cancer
Mike Tyson,Cancer
50 Cent,Cancer
Saweetie,Cancer
Courtney Love,Cancer
Kali Uchis,Cancer
Pamela Anderson,Cancer
Khloé Kardashian,Cancer
Jacob Elordi,Cancer
Tana Mongeau,Cancer
Robin Williams,Cancer
Tom Cruise,Cancer
Tate McRae,Cancer
Taylor Russell,Cancer
Anthony Bourdain,Cancer
Lindsay Lohan,Cancer
Larry David,Cancer
Conor McGregor,Cancer
Prince William,Cancer
Nikola Tesla,Cancer
Jaden Smith,Cancer
Sofía Vergara,Cancer
Solange Knowles,Cancer
Meryl Streep,Cancer
Gisele Bündchen,Cancer
George W. Bush,Cancer
PartyNextDoor,Cancer
Sophia Bush,Cancer
Frida Kahlo,Cancer
Aubrey Plaza,Cancer
Benson Boone,Cancer
Vinnie Hacker,Cancer
Lionel Messi,Cancer
Riley Reid,Cancer
Wendy Williams,Cancer
Shannon Sharpe,Cancer
Pauly D,Cancer
Priyanka Chopra,Cancer
Chloe Bailey,Cancer
Angelina Pivarnick,Cancer
Drake Bell,Cancer
Franz Kafka,Cancer
Jennette McCurdy,Cancer
H.E.R.,Cancer
Sylvester Stallone,Cancer
Kevin Hart,Cancer
Erika Jayne,Cancer
Tom Hanks,Cancer
Jon Jones,Cancer
Lil' Kim,Cancer
Kristen Bell,Cancer
Lisa Rinna,Cancer
Chris Cornell,Cancer
Willem Dafoe,Cancer
George Michael,Cancer
Nicole Scherzinger,Cancer
Vince Staples,Cancer
Harrison Ford,Cancer
Liv Tyler,Cancer
Benedict Cumberbatch,Cancer
Pop Smoke,Cancer
Michael Sorrentino,Cancer
Lee Taemin,Cancer
Eva Green,Cancer
Camilla Parker Bowles,Cancer
Jared Padalecki,Cancer
Ernest Hemingway,Cancer
Oliver Stark,Cancer
Will Ferrell,Cancer
Tobey Maguire,Cancer
Camila Mendes,Cancer
Missy Elliott,Cancer
Léa Seydoux,Cancer
Jessica Simpson,Cancer
Sandra Oh,Cancer
Ricky Gervais,Cancer
Cyndi Lauper,Cancer
Ashley Tisdale,Cancer
Josh Hartnett,Cancer
Ringo Starr,Cancer
Sam Claflin,Cancer
Ed Westwick,Cancer
Olivia Munn,Cancer
Phoebe Waller-Bridge,Cancer
Nelson Mandela,Cancer
Vin Diesel,Cancer
Hope Sandoval,Cancer
Dan Reynolds (musician),Cancer
Debbie Harry,Cancer
Michelle Rodriguez,Cancer
Maggie Lindemann,Cancer
Shane Dawson,Cancer
Travis Fimmel,Cancer
Jennifer Lopez,Leo
Dua Lipa,Leo
Kylie Jenner,Leo
Jennifer Lawrence,Leo
Barack Obama,Leo
Whitney Houston,Leo
Austin Butler,Leo
Madonna (entertainer),Leo
Meghan Markle,Leo
Ben Affleck,Leo
Lil Uzi Vert,Leo
Anthony Edwards (basketball),Leo
Bretman Rock,Leo
Andrew Garfield,Leo
Hasan Piker,Leo
Joe Rogan,Leo
Shawn Mendes,Leo
Sandra Bullock,Leo
Kim Cattrall,Leo
Charli XCX,Leo
Carl Jung,Leo
King Von,Leo
Demi Lovato,Leo
Arnold Schwarzenegger,Leo
Jason Momoa,Leo
Mila Kunis,Leo
J. K. Rowling,Leo
Chris Hemsworth,Leo
Jason Statham,Leo
Kate Bush,Leo
Halle Berry,Leo
Young Thug,Leo
Bill Clinton,Leo
Matthew Perry,Leo
Phoebe Bridgers,Leo
Joe Jonas,Leo
Martha Stewart,Leo
Charlize Theron,Leo
Daniel Radcliffe,Leo
Patrick Swayze,Leo
Robert De Niro,Leo
Kacey Musgraves,Leo
Sebastian Stan,Leo
Bill Skarsgård,Leo
Gillian Anderson,Leo
AC Wharton Jr.,Leo
Mick Jagger,Leo
Cara Delevingne,Leo
Clara Bow,Leo
Tom Brady,Leo
Jacqueline Kennedy Onassis,Leo
Finneas O'Connell,Leo
Steve Carell,Leo
Andy Samberg,Leo
Matt LeBlanc,Leo
Tory Lanez,Leo
Chief Keef,Leo
Paul Wesley,Leo
Elizabeth Gillies,Leo
Steve Martin,Leo
Lucille Ball,Leo
Kate Beckinsale,Leo
Jerry Garcia,Leo
Christopher Nolan,Leo
Joey King,Leo
Dixie D'Amelio,Leo
Elliott Smith,Leo
Marcello Hernandez,Leo
Kristen Wiig,Leo
Robert Plant,Leo
Maya Rudolph,Leo
Lisa Kudrow,Leo
Bo Burnham,Leo
G-Dragon,Leo
James Cameron,Leo
Nessa Barrett,Leo
Amy Adams,Leo
Andy Warhol,Leo
Dylan Sprouse,Leo
James Baldwin,Leo
Coco Chanel,Leo
Angela Bassett,Leo
Young Dolph,Leo
George Soros,Leo
Meagan Good,Leo
Anna Kendrick,Leo
Devon Aoki,Leo
Viola Davis,Leo
Mark Cuban,Leo
Soulja Boy,Leo
Greta Gerwig,Leo
Terry Crews,Leo
Teanna Trump,Leo
Michelle Williams,Leo
Vivica A. Fox,Leo
The Kid Laroi,Leo
David Duchovny,Leo
Yungblud,Leo
Princess Anne,Leo
Cailee Spaeny,Leo
Zendaya,Virgo
Beyoncé,Virgo
Amy Winehouse,Virgo
Sydney Sweeney,Virgo
Jungkook,Virgo
Keanu Reeves,Virgo
Ella Purnell,Virgo
Blake Lively,Virgo
Katt Williams,Virgo
Salma Hayek,Virgo
Kendra Lust,Virgo
Adam Sandler,Virgo
Florence Welch,Virgo
Rap Monster,Virgo
Playboi Carti,Virgo
Jack Black,Virgo
Freddie Mercury,Virgo
Kobe Bryant,Virgo
Metro Boomin,Virgo
Jada Pinkett Smith,Virgo
Fiona Apple,Virgo
Chris Pine,Virgo
Keke Palmer,Virgo
Cassie Ventura,Virgo
Nick Jonas,Virgo
Abby Lee Miller,Virgo
Prince Harry,Virgo
Dylan O'Brien,Virgo
Pink (singer),Virgo
Cameron Diaz,Virgo
Jimmy Fallon,Virgo
Tom Hardy,Virgo
Lil Yachty,Virgo
Paul Walker,Virgo
River Phoenix,Virgo
Warren Buffett,Virgo
Kaia Gerber,Virgo
Johnnie Guilbert,Virgo
Narendra Modi,Virgo
Ludacris,Virgo
Lili Reinhart,Virgo
John Mulaney,Virgo
Wiz Khalifa,Virgo
Tim Burton,Virgo
Sofia Richie,Virgo
Bebe Rexha,Virgo
Stephen King,Virgo
Marc Anthony,Virgo
Shania Twain,Virgo
Han Jisung,Virgo
Charlie Sheen,Virgo
Tyler Perry,Virgo
Nas,Virgo
Sophia Loren,Virgo
Dave Chappelle,Virgo
Moneybagg Yo,Virgo
Avicii,Virgo
Hugh Grant,Virgo
Idris Elba,Virgo
Filthy Frank,Virgo
Niall Horan,Virgo
Richard Gere,Virgo
Khabib Nurmagomedov,Virgo
Nicki Nicole,Virgo
Connor Franta,Virgo
Rose McGowan,Virgo
Emmy Rossum,Virgo
Jason Derulo,Virgo
Armie Hammer,Virgo
Alexis Bledel,Virgo
Jenna Marbles,Virgo
Zico (rapper),Virgo
Hans Zimmer,Virgo
Leonard Cohen,Virgo
Lea Michele,Virgo
Drew Pinsky,Virgo
Nick Cave,Virgo
Joe Budden,Virgo
Bernie Sanders,Virgo
Rod Wave,Virgo
Chad Michael Murray,Virgo
Andrew Lincoln,Virgo
Jennifer Coolidge,Virgo
Eazy-E,Virgo
James Gandolfini,Virgo
Thalía,Virgo
Blaire White,Virgo
Alexander Skarsgård,Virgo
Rachel Sennott,Virgo
Jimmy Butler,Virgo
Joan Jett,Virgo
Bill Murray,Virgo
Julian Casablancas,Virgo
Michelle Visage,Virgo
Jon Bernthal,Virgo
Tom Ford,Virgo
Melissa McCarthy,Virgo
Jennifer Hudson,Virgo
Aaron Paul,Virgo
Macaulay Culkin,Virgo
Doja Cat,Libra
Kim Kardashian,Libra
Travis Kelce,Libra
A$AP Rocky,Libra
Bella Hadid,Libra
Barry Keoghan,Libra
Vladimir Putin,Libra
Eminem,Libra
Gwen Stefani,Libra
Cardi B,Libra
Jenna Ortega,Libra
Ashanti (singer),Libra
Will Smith,Libra
Monica Bellucci,Libra
John Lennon,Libra
Halsey (singer),Libra
Dakota Johnson,Libra
Rubi Rose,Libra
Bruno Mars,Libra
Donald Glover,Libra
Lil Wayne,Libra
Rosalia,Libra
YoungBoy Never Broke Again,Libra
Snoop Dogg,Libra
Ne-Yo,Libra
Glen Powell,Libra
21 Savage,Libra
Mitski,Libra
Barbara Palvin,Libra
Avril Lavigne,Libra
Park Jimin,Libra
Kamala Harris,Libra
Marina and the Diamonds,Libra
John Mayer,Libra
Kate Winslet,Libra
Emilia Clarke,Libra
Zac Efron,Libra
Hilary Duff,Libra
DDG (rapper),Libra
Gwyneth Paltrow,Libra
Benjamin Netanyahu,Libra
Usher,Libra
Lil Durk,Libra
John Krasinski,Libra
Keyshia Cole,Libra
Nicholas Galitzine,Libra
Maddie Ziegler,Libra
Neil deGrasse Tyson,Libra
Young Jeezy,Libra
Serena Williams,Libra
Rebecca Ferguson,Libra
Nick Cannon,Libra
Tommy Lee,Libra
Brigitte Bardot,Libra
Hugh Jackman,Libra
T-Pain,Libra
Catherine Zeta-Jones,Libra
Matt Damon,Libra
Brie Larson,Libra
Thom Yorke,Libra
Bella Thorne,Libra
Josh Hutcherson,Libra
Judith Sheindlin,Libra
Sharon Osbourne,Libra
Michele Morrone,Libra
Amber Rose,Libra
Ezra Miller,Libra
Kevin Durant,Libra
Matt Bomer,Libra
Dorit Kemsley,Libra
Ranbir Kapoor,Libra
Aleister Crowley,Libra
Julie Andrews,Libra
Fran Drescher,Libra
Michael Douglas,Libra
Mandisa,Libra
Simon Cowell,Libra
Margaret Thatcher,Libra
Bruce Springsteen,Libra
Oscar Wilde,Libra
Carrie Fisher,Libra
St. Vincent (musician),Libra
Toni Braxton,Libra
Candice Swanepoel,Libra
Sacha Baron Cohen,Libra
Miguel Jontel Pimentel,Libra
Ayo Edebiri,Libra
Jeff Goldblum,Libra
T.I.,Libra
Susan Sarandon,Libra
Naomi Watts,Libra
Rekha,Libra
Dan Stevens,Libra
Imran Khan,Libra
Jimmy Carter,Libra
PJ Harvey,Libra
Sting (musician),Libra
Zach Woods,Libra
Viggo Mortensen,Libra
Dita Von Teese,Libra
Drake (rapper),Scorpio
Sean Combs,Scorpio
Katy Perry,Scorpio
SZA (singer),Scorpio
Kendall Jenner,Scorpio
Ryan Gosling,Scorpio
Future (rapper),Scorpio
Joe Biden,Scorpio
Emma Stone,Scorpio
Anne Hathaway,Scorpio
Frank Ocean,Scorpio
NLE Choppa,Scorpio
Leonardo DiCaprio,Scorpio
Kris Jenner,Scorpio
Gordon Ramsay,Scorpio
Ryan Reynolds,Scorpio
Willow Smith,Scorpio
Matthew McConaughey,Scorpio
Björk,Scorpio
Bill Gates,Scorpio
Nelly,Scorpio
RuPaul,Scorpio
Rachel McAdams,Scorpio
Pete Davidson,Scorpio
Sylvia Plath,Scorpio
Penn Badgley,Scorpio
Julia Roberts,Scorpio
Prince Charles,Scorpio
Mia Goth,Scorpio
Jeff Buckley,Scorpio
Lil Peep,Scorpio
Shah Rukh Khan,Scorpio
Lorde,Scorpio
Adam Driver,Scorpio
RAYE,Scorpio
Brittany Murphy,Scorpio
Joaquin Phoenix,Scorpio
Ciara,Scorpio
Mads Mikkelsen,Scorpio
Winona Ryder,Scorpio
Grace Kelly,Scorpio
Travis Barker,Scorpio
Shailene Woodley,Scorpio
Vinny Guadagnino,Scorpio
Jeffree Star,Scorpio
Goldie Hawn,Scorpio
Mark Ruffalo,Scorpio
PewDiePie,Scorpio
Drew Starkey,Scorpio
Hillary Rodham Clinton,Scorpio
Bethenny Frankel,Scorpio
Joni Mitchell,Scorpio
Hedy Lamarr,Scorpio
Walton Goggins,Scorpio
Pablo Picasso,Scorpio
Aishwarya Rai Bachchan,Scorpio
Demi Moore,Scorpio
Dacre Montgomery,Scorpio
Ethan Hawke,Scorpio
Alain Delon,Scorpio
Anna Wintour,Scorpio
Lisa Bonet,Scorpio
Jimmy Kimmel,Scorpio
Chris Noth,Scorpio
Anthony Kiedis,Scorpio
Tilda Swinton,Scorpio
Jodie Foster,Scorpio
Caitlyn Jenner,Scorpio
Margaret Qualley,Scorpio
Fyodor Dostoyevsky,Scorpio
Cindy Kimberly,Scorpio
Kid Indigo,Scorpio
Tove Lo,Scorpio
Jamie Lee Curtis,Scorpio
Whoopi Goldberg,Scorpio
Jeff Probst,Scorpio
Devin Booker,Scorpio
Tracee Ellis Ross,Scorpio
Owen Wilson,Scorpio
Gerard Butler,Scorpio
Bob Ross,Scorpio
Joseline Hernandez,Scorpio
Brandi Glanville,Scorpio
Chloë Sevigny,Scorpio
Martin Scorsese,Scorpio
David Schwimmer,Scorpio
Albert Camus,Scorpio
Ella Mai,Scorpio
Ellen Pompeo,Scorpio
Odell Beckham Jr.,Scorpio
Stanley Tucci,Scorpio
Tom Ellis (actor),Scorpio
Troian Bellisario,Scorpio
Monica (singer),Scorpio
Roseanne Barr,Scorpio
Sam Rockwell,Scorpio
Oliver Sykes,Scorpio
Robert F. Kennedy,Scorpio
Josh Peck,Scorpio
Davido,Scorpio
Taylor Swift,Sagittarius
Billie Eilish,Sagittarius
Jay-Z,Sagittarius
Brad Pitt,Sagittarius
Miley Cyrus,Sagittarius
Hailey Baldwin,Sagittarius
Nicki Minaj,Sagittarius
Britney Spears,Sagittarius
Alexa Demie,Sagittarius
Andrew Tate,Sagittarius
Scarlett Johansson,Sagittarius
Theo James,Sagittarius
Jake Gyllenhaal,Sagittarius
Vanessa Hudgens,Sagittarius
Jim Morrison,Sagittarius
Ian Somerhalder,Sagittarius
Bruce Lee,Sagittarius
Conan Gray,Sagittarius
Offset (rapper),Sagittarius
Christina Aguilera,Sagittarius
Anna Nicole Smith,Sagittarius
Zoë Kravitz,Sagittarius
Raven-Symoné,Sagittarius
Frank Sinatra,Sagittarius
Juice Wrld,Sagittarius
Jimi Hendrix,Sagittarius
Snooki,Sagittarius
DMX (rapper),Sagittarius
Jane Fonda,Sagittarius
Ozzy Osbourne,Sagittarius
Charlie Puth,Sagittarius
Jin,Sagittarius
Amanda Seyfried,Sagittarius
Tina Turner,Sagittarius
Walt Disney,Sagittarius
Alexander Cooper,Sagittarius
Madelyn Cline,Sagittarius
Tyra Banks,Sagittarius
Max Holloway,Sagittarius
Sia Furler,Sagittarius
Kylian Mbappé,Sagittarius
Sarah Paulson,Sagittarius
Sinéad O'Connor,Sagittarius
Jennifer Connelly,Sagittarius
Katherine Heigl,Sagittarius
A Boogie wit da Hoodie,Sagittarius
Lil Baby,Sagittarius
Samuel L. Jackson,Sagittarius
Lucy Liu,Sagittarius
NeNe Leakes,Sagittarius
Bridgit Mendler,Sagittarius
Winston Churchill,Sagittarius
Hande Ercel,Sagittarius
Teyana Taylor,Sagittarius
Nelly Furtado,Sagittarius
Tyler Joseph,Sagittarius
Jamie Foxx,Sagittarius
Russell Wilson,Sagittarius
Ronnie Ortiz-Magro,Sagittarius
Katie Holmes,Sagittarius
Lauren London,Sagittarius
Brendan Fraser,Sagittarius
Hailee Steinfeld,Sagittarius
Trey Songz,Sagittarius
Jane Birkin,Sagittarius
Emily Dickinson,Sagittarius
Jonah Hill,Sagittarius
Orlando Brown,Sagittarius
Marina Abramović,Sagittarius
Sarah Hyland,Sagittarius
Krysten Ritter,Sagittarius
Mo'Nique,Sagittarius
John F. Kennedy Jr.,Sagittarius
Alan Ritchson,Sagittarius
Chrissy Teigen,Sagittarius
Amy Lee,Sagittarius
Ashley Benson,Sagittarius
DJ Khaled,Sagittarius
Steven Spielberg,Sagittarius
Jane Austen,Sagittarius
Adam Brody,Sagittarius
Ben Stiller,Sagittarius
Janelle Monáe,Sagittarius
Emmanuel Macron,Sagittarius
Woody Allen,Sagittarius
Stone Cold Steve Austin,Sagittarius
Daniel Christopher Preda,Sagittarius
Anuel AA,Sagittarius
Nicholas Hoult,Sagittarius
Vincent Cassel,Sagittarius
Julianne Moore,Sagittarius
Jon Stewart,Sagittarius
Rita Ora,Sagittarius
Alyssa Milano,Sagittarius
Christina Applegate,Sagittarius
Kaley Cuoco,Sagittarius
Joan Didion,Sagittarius
Jenna Dewan,Sagittarius
Magnus Carlsen,Sagittarius
Anna Faris,Sagittarius
Timothée Chalamet,Capricorn
Elvis Presley,Capricorn
Reneé Rapp,Capricorn
Kim Taehyung,Capricorn
Ice Spice,Capricorn
Aaliyah,Capricorn
Jennie Kim,Capricorn
LeBron James,Capricorn
Jim Carrey,Capricorn
Quenlin Blackwell,Capricorn
David Bowie,Capricorn
Sade Adu,Capricorn
Mac Miller,Capricorn
Orlando Bloom,Capricorn
Zayn Malik,Capricorn
Dolly Parton,Capricorn
FKA Twigs,Capricorn
Denzel Washington,Capricorn
Suki Waterhouse,Capricorn
Florence Pugh,Capricorn
Jeff Bezos,Capricorn
DaBaby,Capricorn
Jared Leto,Capricorn
Issa Rae,Capricorn
Hayao Miyazaki,Capricorn
Muhammad Ali,Capricorn
Nina Dobrev,Capricorn
Robert F. Kennedy Jr.,Capricorn
Marilyn Manson,Capricorn
Miss Mulatto,Capricorn
Hayley Williams,Capricorn
Bradley Cooper,Capricorn
Michelle Obama,Capricorn
Bryson Tiller,Capricorn
Finn Wolfhard,Capricorn
Kate Middleton,Capricorn
Kyle Richards,Capricorn
Rauw Alejandro,Capricorn
David Lynch,Capricorn
Zooey Deschanel,Capricorn
Tiger Woods,Capricorn
Liam Hemsworth,Capricorn
Dove Cameron,Capricorn
Martin Luther King Jr.,Capricorn
Dominic Fike,Capricorn
Jake Paul,Capricorn
Lewis Hamilton,Capricorn
Alex Turner,Capricorn
Kate Moss,Capricorn
Nicolas Cage,Capricorn
Dave Grohl,Capricorn
Eartha Kitt,Capricorn
Deepika Padukone,Capricorn
Irina Shayk,Capricorn
Norman Reedus,Capricorn
Tyrese Gibson,Capricorn
Edgar Allan Poe,Capricorn
Diljit Dosanjh,Capricorn
Benjamin Franklin,Capricorn
Janis Joplin,Capricorn
Ben Shapiro,Capricorn
Eddie Vedder,Capricorn
Meghan Trainor,Capricorn
Louis Tomlinson,Capricorn
Kai,Capricorn
Nicola Peltz,Capricorn
Steve Harvey,Capricorn
Ava Gardner,Capricorn
Mary J. Blige,Capricorn
Hunter Schafer,Capricorn
Yolanda Hadid,Capricorn
Jason Bateman,Capricorn
Kit Harington,Capricorn
Logan Lerman,Capricorn
Ross Lynch,Capricorn
Salman Khan,Capricorn
Patti Smith,Capricorn
Justin Trudeau,Capricorn
Naya Rivera,Capricorn
John Legend,Capricorn
Pitbull (rapper),Capricorn
Kristin Cavallari,Capricorn
Jude Law,Capricorn
Patrick Dempsey,Capricorn
Deena Nicole Cortese,Capricorn
Stephen Hawking,Capricorn
Mel Gibson,Capricorn
Ray J,Capricorn
Noah Cyrus,Capricorn
Kai (entertainer),Capricorn
Colby Brock,Capricorn
Julia Louis-Dreyfus,Capricorn
Kevin Costner,Capricorn
Isaac Newton,Capricorn
Do Kyungsoo,Capricorn
Calvin Harris,Capricorn
Ryan Seacrest,Capricorn
Rowan Atkinson,Capricorn
Dax Shepard,Capricorn
J. R. R. Tolkien,Capricorn
The Weeknd,Aquarius
Harry Styles,Aquarius
Megan Thee Stallion,Aquarius
Bob Marley,Aquarius
Jennifer Aniston,Aquarius
J. Cole,Aquarius
Evan Peters,Aquarius
Emma Roberts,Aquarius
Xxxtentacion,Aquarius
Michael Jordan,Aquarius
Shakira,Aquarius
Cristiano Ronaldo,Aquarius
Oprah Winfrey,Aquarius
Callum Turner,Aquarius
Michael B. Jordan,Aquarius
Georgina Rodriguez,Aquarius
Paris Hilton,Aquarius
Kim Soo Hyun,Aquarius
Rick Ross,Aquarius
Ellen DeGeneres,Aquarius
Christian Bale,Aquarius
Justin Timberlake,Aquarius
Julia Fox (actress),Aquarius
Kevin Gates,Aquarius
Abraham Lincoln,Aquarius
Tinashe,Aquarius
Jeremy Allen White,Aquarius
