Name,Sign,Ascendant
Jim Carrey,Capricorn,Scorpio
David Lynch,Capricorn,Scorpio
Patti Smith,Capricorn,Sagittarius
Jared Leto,Capricorn,Taurus
Donna Summer,Capricorn,Virgo
Norman Reedus,Capricorn,Scorpio
Jude Law,Capricorn,Sagittarius
Bryson Tiller,Capricorn,Sagittarius
Tyrese Gibson,Capricorn,Scorpio
Benjamin Franklin,Capricorn,Aries
Denzel Washington,Capricorn,Libra
Anthony Hopkins,Capricorn,Capricorn
J. R. R. Tolkien,Capricorn,Virgo
Zooey Deschanel,Capricorn,Capricorn
Finn Wolfhard,Capricorn,Virgo
Justin Trudeau,Capricorn,Virgo
Bradley Cooper,Capricorn,Sagittarius
Louis Tomlinson,Capricorn,Gemini
Zayn Malik,Capricorn,Pisces
Naya Rivera,Capricorn,Gemini
Kyle Richards,Capricorn,Leo
LeBron James,Capricorn,Gemini
Eddie Redmayne,Capricorn,Leo
Mel Gibson,Capricorn,Cancer
Morgan Freeman,Gemini,Pisces
Sonakshi Sinha,Gemini,Capricorn
Mary-Kate Olsen,Gemini,Leo
Rafael Nadal,Gemini,Scorpio
Peter Dinklage,Gemini,Pisces
Lucy Hale,Gemini,Leo
Naomi Campbell,Gemini,Capricorn
Fairuza Balk,Gemini,Sagittarius
Lisa Lopes,Gemini,Leo
Paul McCartney,Gemini,Virgo
Chris Pratt,Gemini,Scorpio
Novak Djokovic,Gemini,Capricorn
Dave Franco,Gemini,Capricorn
Brooke Shields,Gemini,Virgo
Angelina Jolie,Gemini,Cancer
Lenny Kravitz,Gemini,Capricorn
Mae Whitman,Gemini,Leo
Nicole Kidman,Gemini,Scorpio
Clint Eastwood,Gemini,Scorpio
Kylie Minogue,Gemini,Cancer
Zoe Saldana,Gemini,Leo
Stevie Nicks,Gemini,Aries
Chris Evans (actor),Gemini,Scorpio
Judy Garland,Gemini,Gemini
Mark Wahlberg,Gemini,Cancer
Kendrick Lamar,Gemini,Libra
Richard Madden,Gemini,Leo
Azealia Banks,Gemini,Taurus
John F. Kennedy,Gemini,Libra
Alanis Morissette,Gemini,Leo
Gene Wilder,Gemini,Taurus
Bill Burr,Gemini,Cancer
Prince (musician),Gemini,Scorpio
Michael J. Fox,Gemini,Aquarius
Marilyn Monroe,Gemini,Leo
Priscilla Presley,Gemini,Capricorn
Juliette Lewis,Gemini,Gemini
Colin Farrell,Gemini,Capricorn
Ashley Olsen,Gemini,Leo
Shia LaBeouf,Gemini,Aquarius
Bob Dylan,Gemini,Sagittarius
Johnny Depp,Gemini,Leo
Anne Frank,Gemini,Leo
Donald Trump,Gemini,Leo
Joan Rivers,Gemini,Aries
Russell Brand,Gemini,Capricorn
Sandra Bullock,Leo,Gemini
Carl Jung,Leo,Aquarius
J. K. Rowling,Leo,Aquarius
Princess Anne,Leo,Libra
Steve Carell,Leo,Virgo
Halle Berry,Leo,Taurus
Coco Chanel,Leo,Sagittarius
Sebastian Stan,Leo,Sagittarius
Joe Jonas,Leo,Libra
Tom Brady,Leo,Libra
Dana White,Leo,Scorpio
Dua Lipa,Leo,Gemini
Barack Obama,Leo,Aquarius
Ben Affleck,Leo,Cancer
Arnold Schwarzenegger,Leo,Cancer
Bill Clinton,Leo,Virgo
Elisabeth Moss,Leo,Cancer
Roger Federer,Leo,Virgo
Patrick Swayze,Leo,Virgo
Elliott Smith,Leo,Taurus
Kylie Jenner,Leo,Capricorn
Robert De Niro,Leo,Cancer
Matt LeBlanc,Leo,Cancer
Andy Warhol,Leo,Leo
Steve Martin,Leo,Leo
Meghan Markle,Leo,Cancer
Lisa Kudrow,Leo,Cancer
Sean Penn,Leo,Sagittarius
Austin Butler,Leo,Taurus
Mick Jagger,Leo,Gemini
Andrew Garfield,Leo,Pisces
Gillian Anderson,Leo,Leo
Matthew Perry,Leo,Leo
Demi Lovato,Leo,Leo
Bo Burnham,Leo,Sagittarius
Jacqueline Kennedy Onassis,Leo,Scorpio
Lucille Ball,Leo,Capricorn
Andy Samberg,Leo,Virgo
Jennifer Lawrence,Leo,Sagittarius
Martha Stewart,Leo,Scorpio
James Hetfield,Leo,Capricorn
Robert Plant,Leo,Sagittarius
Charlize Theron,Leo,Virgo
Amy Adams,Leo,Gemini
Whitney Houston,Leo,Pisces
Vladimir Putin,Libra,Scorpio
Kamala Harris,Libra,Gemini
Serena Williams,Libra,Taurus
Jeff Goldblum,Libra,Cancer
Dakota Johnson,Libra,Capricorn
Margaret Thatcher,Libra,Scorpio
Kim Kardashian,Libra,Sagittarius
Gwen Stefani,Libra,Capricorn
Nick Cannon,Libra,Gemini
Carrie Fisher,Libra,Capricorn
Susan Sarandon,Libra,Capricorn
Alexandria Ocasio-Cortez,Libra,Sagittarius
Avril Lavigne,Libra,Libra
John Mayer,Libra,Libra
Amber Rose,Libra,Aries
Halsey (singer),Libra,Scorpio
Monica Bellucci,Libra,Capricorn
Doja Cat,Libra,Libra
John Lennon,Libra,Aries
Michael Douglas,Libra,Scorpio
Naomi Watts,Libra,Scorpio
Keyshia Cole,Libra,Cancer
Zac Efron,Libra,Capricorn
Kate Winslet,Libra,Libra
Josh Hutcherson,Libra,Taurus
Brigitte Bardot,Libra,Sagittarius
Ezra Miller,Libra,Taurus
Will Smith,Libra,Gemini
Brie Larson,Libra,Aries
Jim Henson,Libra,Sagittarius
John Krasinski,Libra,Gemini
Matt Damon,Libra,Aquarius
Lindsey Buckingham,Libra,Leo
Julie Andrews,Libra,Virgo
Gwyneth Paltrow,Libra,Pisces
Bella Hadid,Libra,Virgo
Aleister Crowley,Libra,Leo
Bruce Springsteen,Libra,Gemini
Bruno Mars,Libra,Aquarius
Gavin Newsom,Libra,Virgo
Oscar Wilde,Libra,Virgo
Ranbir Kapoor,Libra,Gemini
Donald Glover,Libra,Virgo
Hilary Duff,Libra,Aquarius
Catherine Zeta-Jones,Libra,Sagittarius
Matt Bomer,Libra,Libra
Christoph Waltz,Libra,Aquarius
Jimmy Carter,Libra,Libra
Dakota Fanning,Pisces,Taurus
Antoine Griezmann,Pisces,Capricorn
Laura Prepon,Pisces,Leo
Fred Rogers,Pisces,Taurus
Lauren Graham,Pisces,Virgo
"Tyler, the Creator",Pisces,Leo
Drew Barrymore,Pisces,Gemini
Shaquille O'Neal,Pisces,Aries
Stephen Curry,Pisces,Leo
Adam Levine,Pisces,Leo
Bryce Dallas Howard,Pisces,Aries
Bernard Arnault,Pisces,Leo
Bryan Cranston,Pisces,Gemini
Kyle MacLachlan,Pisces,Leo
Aamir Khan,Pisces,Pisces
Kesha,Pisces,Sagittarius
Jennifer Love Hewitt,Pisces,Scorpio
Victoria Justice,Pisces,Scorpio
Eva Longoria,Pisces,Scorpio
Chuck Norris,Pisces,Capricorn
George Harrison,Pisces,Scorpio
Justin Bieber,Pisces,Scorpio
Elizabeth Taylor,Pisces,Sagittarius
Nina Simone,Pisces,Aquarius
Javier Bardem,Pisces,Libra
Queen Latifah,Pisces,Taurus
Alia Bhatt,Pisces,Aquarius
Jhene Aiko,Pisces,Sagittarius
Camila Cabello,Pisces,Taurus
Rihanna,Pisces,Aries
Erykah Badu,Pisces,Sagittarius
Albert Einstein,Pisces,Cancer
Chelsea Handler,Pisces,Virgo
Kurt Cobain,Pisces,Virgo
Jessica Biel,Pisces,Sagittarius
Olivia Rodrigo,Pisces,Capricorn
Johnny Cash,Pisces,Pisces
Jon Bon Jovi,Pisces,Libra
Liza Minnelli,Pisces,Taurus
George Washington,Pisces,Taurus
Steve Jobs,Pisces,Virgo
Kurt Russell,Pisces,Cancer
Simone Biles,Pisces,Sagittarius
Daniel Craig,Pisces,Scorpio
Sharon Stone,Pisces,Virgo
Harvey Weinstein,Pisces,Scorpio
Bruce Willis,Pisces,Virgo
Robert Kardashian,Pisces,Capricorn
Cindy Crawford,Pisces,Cancer
Tony Robbins,Pisces,Libra
Bruce Lee,Sagittarius,Sagittarius
Jonah Hill,Sagittarius,Capricorn
Milla Jovovich,Sagittarius,Cancer
Jimi Hendrix,Sagittarius,Sagittarius
Sinéad O'Connor,Sagittarius,Sagittarius
Brad Pitt,Sagittarius,Sagittarius
Hailee Steinfeld,Sagittarius,Cancer
Scarlett Johansson,Sagittarius,Sagittarius
Ozzy Osbourne,Sagittarius,Scorpio
Aaron Carter,Sagittarius,Sagittarius
Steven Spielberg,Sagittarius,Cancer
Raven-Symoné,Sagittarius,Libra
Emily Dickinson,Sagittarius,Scorpio
Jim Morrison,Sagittarius,Aquarius
Ian Somerhalder,Sagittarius,Aquarius
Joan Didion,Sagittarius,Cancer
Jane Fonda,Sagittarius,Capricorn
Jane Birkin,Sagittarius,Gemini
Woody Allen,Sagittarius,Virgo
Walt Disney,Sagittarius,Virgo
Sarah Paulson,Sagittarius,Virgo
Jane Austen,Sagittarius,Virgo
Russell Wilson,Sagittarius,Aquarius
Krysten Ritter,Sagittarius,Pisces
Tina Turner,Sagittarius,Leo
Richard Pryor,Sagittarius,Pisces
Vincent Cassel,Sagittarius,Leo
Kaley Cuoco,Sagittarius,Pisces
Jake Gyllenhaal,Sagittarius,Leo
Katie Holmes,Sagittarius,Leo
Jay-Z,Sagittarius,Pisces
Vanessa Hudgens,Sagittarius,Leo
Winston Churchill,Sagittarius,Virgo
Chrissy Teigen,Sagittarius,Cancer
Christina Aguilera,Sagittarius,Aquarius
Kiefer Sutherland,Sagittarius,Capricorn
Miley Cyrus,Sagittarius,Taurus
Taylor Swift,Sagittarius,Scorpio
Tyra Banks,Sagittarius,Cancer
Ashley Benson,Sagittarius,Scorpio
Brendan Fraser,Sagittarius,Taurus
Anna Nicole Smith,Sagittarius,Libra
Adam Brody,Sagittarius,Aquarius
Julianne Moore,Sagittarius,Gemini
Zoë Kravitz,Sagittarius,Libra
Andrew McCarthy,Sagittarius,Libra
Britney Spears,Sagittarius,Libra
Tiffany Haddish,Sagittarius,Capricorn
Frank Sinatra,Sagittarius,Libra
Emmanuel Macron,Sagittarius,Capricorn
Kendall Jenner,Scorpio,Aries
Anne Hathaway,Scorpio,Sagittarius
Lil Peep,Scorpio,Sagittarius
Lorde,Scorpio,Capricorn
Whoopi Goldberg,Scorpio,Aquarius
Sylvia Plath,Scorpio,Aquarius
RuPaul,Scorpio,Gemini
Adam Driver,Scorpio,Pisces
Mark Ruffalo,Scorpio,Sagittarius
Goldie Hawn,Scorpio,Sagittarius
Gordon Ramsay,Scorpio,Gemini
Willow Smith,Scorpio,Gemini
Shailene Woodley,Scorpio,Cancer
Theodore Roosevelt,Scorpio,Gemini
SZA (singer),Scorpio,Aquarius
Bill Gates,Scorpio,Cancer
Keith Urban,Scorpio,Cancer
Björk,Scorpio,Scorpio
Katy Perry,Scorpio,Scorpio
Alain Delon,Scorpio,Libra
Tracee Ellis Ross,Scorpio,Taurus
Chloë Sevigny,Scorpio,Scorpio
Albert Camus,Scorpio,Virgo
Lisa Bonet,Scorpio,Cancer
Emma Stone,Scorpio,Leo
Ryan Reynolds,Scorpio,Virgo
Caitlyn Jenner,Scorpio,Scorpio
Kris Jenner,Scorpio,Virgo
Hillary Rodham Clinton,Scorpio,Scorpio
Jeff Buckley,Scorpio,Leo
Troian Bellisario,Scorpio,Sagittarius
Leonardo DiCaprio,Scorpio,Libra
Pablo Picasso,Scorpio,Leo
Anthony Kiedis,Scorpio,Libra
Joni Mitchell,Scorpio,Cancer
Hedy Lamarr,Scorpio,Cancer
Martin Scorsese,Scorpio,Leo
Julia Roberts,Scorpio,Cancer
Prince Charles,Scorpio,Leo
Joe Biden,Scorpio,Sagittarius
Jamie Lee Curtis,Scorpio,Sagittarius
Vivien Leigh,Scorpio,Taurus
Shah Rukh Khan,Scorpio,Scorpio
Jodie Foster,Scorpio,Sagittarius
Winona Ryder,Scorpio,Sagittarius
Grace Kelly,Scorpio,Scorpio
Robert F. Kennedy,Scorpio,Taurus
Drake (rapper),Scorpio,Leo
Matthew McConaughey,Scorpio,Gemini
Antony Starr,Scorpio,Virgo
Dwayne Johnson,Taurus,Libra
Daniel Day-Lewis,Taurus,Capricorn
Barbra Streisand,Taurus,Aries
James McAvoy,Taurus,Libra
Stevie Wonder,Taurus,Libra
Elizabeth II,Taurus,Capricorn
David Beckham,Taurus,Taurus
Jim Jones,Taurus,Capricorn
Salvador Dali,Taurus,Cancer
Trisha Paytas,Taurus,Virgo
Kirsten Dunst,Taurus,Leo
Jack Nicholson,Taurus,Leo
Jessica Lange,Taurus,Leo
George Carlin,Taurus,Leo
Alexander Ludwig,Taurus,Gemini
James Brown,Taurus,Leo
Ella Fitzgerald,Taurus,Leo
Teresa Giudice,Taurus,Gemini
Busta Rhymes,Taurus,Leo
Christina Hendricks,Taurus,Gemini
Tucker Carlson,Taurus,Cancer
Uma Thurman,Taurus,Virgo
Renée Zellweger,Taurus,Virgo
William Shakespeare,Taurus,Cancer
Gigi Hadid,Taurus,Taurus
Machine Gun Kelly (rapper),Taurus,Gemini
Chris Brown,Taurus,Leo
John Cena,Taurus,Cancer
Jessica Alba,Taurus,Leo
Bono,Taurus,Capricorn
Michelle Pfeiffer,Taurus,Gemini
Al Pacino,Taurus,Leo
George Lucas,Taurus,Taurus
Megan Fox,Taurus,Capricorn
Cate Blanchett,Taurus,Taurus
Enrique Iglesias,Taurus,Scorpio
Robert Pattinson,Taurus,Taurus
Penélope Cruz,Taurus,Aries
Jerry Seinfeld,Taurus,Taurus
Rami Malek,Taurus,Cancer
Katharine Hepburn,Taurus,Scorpio
Sigmund Freud,Taurus,Scorpio
Janet Jackson,Taurus,Scorpio
Malcolm X,Taurus,Sagittarius
Trent Reznor,Taurus,Capricorn
Dennis Rodman,Taurus,Capricorn
Grace Jones,Taurus,Sagittarius
Billy Joel,Taurus,Cancer
Cher,Taurus,Cancer
Willie Mays,Taurus,Sagittarius
Kaia Gerber,Virgo,Scorpio
Paul Walker,Virgo,Virgo
Narendra Modi,Virgo,Scorpio
Liam Gallagher,Virgo,Sagittarius
Chris Pine,Virgo,Virgo
Katt Williams,Virgo,Scorpio
Keke Palmer,Virgo,Cancer
Jenna Marbles,Virgo,Sagittarius
Shania Twain,Virgo,Sagittarius
Sofia Richie,Virgo,Sagittarius
Armie Hammer,Virgo,Gemini
Dave Chappelle,Virgo,Virgo
Nick Jonas,Virgo,Leo
Tim Burton,Virgo,Gemini
Warren Buffett,Virgo,Sagittarius
Jada Pinkett Smith,Virgo,Sagittarius
Jack Black,Virgo,Cancer
Niall Horan,Virgo,Libra
Keanu Reeves,Virgo,Virgo
James Gandolfini,Virgo,Scorpio
Charlie Sheen,Virgo,Gemini
Billy Ray Cyrus,Virgo,Capricorn
Stephen King,Virgo,Cancer
George R. R. Martin,Virgo,Taurus
River Phoenix,Virgo,Scorpio
Drew Pinsky,Virgo,Cancer
Tyler Perry,Virgo,Libra
Idris Elba,Virgo,Libra
Blake Lively,Virgo,Leo
