Name,Ascendant
Nathan Lane,Cancer
Guillaume Depardieu,Cancer
Ann Jillian,Cancer
Romy Schneider,Cancer
Tonya Harding,Cancer
Barbara Hale,Cancer
Michael Palin,Cancer
David Walliams,Cancer
Annette Funicello,Cancer
Andrew Sachs,Cancer
Klaus Kinski,Cancer
Robert Stack,Cancer
Carmen Miranda,Cancer
Lauren Hutton,Cancer
Warren Oates,Cancer
Elizabeth Ashley,Cancer
Ron Ely,Cancer
Anna Karina,Cancer
William Mapother,Cancer
Anna Magnani,Cancer
Linda Hunt,Cancer
Fanny Ardant,Cancer
Felicitas Woll,Cancer
John Brodie,Cancer
Buck Owens,Cancer
Travis Tritt,Cancer
Hank Snow,Cancer
Jessye Norman,Cancer
Pixie Lott,Cancer
Jeanette MacDonald,Cancer
Luminița Gheorghiu,Cancer
Juliane Köhler,Cancer
Sevyn Streeter,Cancer
Jane Wiedlin,Cancer
Valentina Cortese,Cancer
Alberto Sordi,Cancer
Walter Chiari,Cancer
Dario Fo,Cancer
Renato Salvatori,Cancer
Laura Antonelli,Cancer
Sara Forestier,Cancer
Bruno Salomone,Cancer
Michel Piccoli,Cancer
Renny Harlin,Cancer
Luciano Ligabue,Cancer
Claressa Shields,Cancer
Elenoire Casalegno,Cancer
Matt Kenseth,Cancer
Constance Talmadge,Cancer
Salvador Dali,Cancer
Keith Tkachuk,Cancer
Eddie Money,Cancer
Will Rogers,Cancer
Armando Manzanero,Cancer
Pablo Aimar,Cancer
Grégory Coupet,Cancer
Louis Chevrolet,Cancer
John Philip Sousa,Cancer
Alexander Fleming,Cancer
Salvatore Quasimodo,Cancer
Tucker Carlson,Cancer
Drew Scott,Cancer
Lisa Bonet,Cancer
Alfonso Gatto,Cancer
Marvin Gaye,Cancer
Primo Levi,Cancer
Ted Hughes,Cancer
B. R. Ambedkar,Cancer
Mary Shelley,Cancer
Marie Dressler,Cancer
Hector Berlioz,Cancer
MacKenzie Mauzy,Cancer
Kim Wilde,Cancer
Barbara Dickson,Cancer
Jackson Browne,Cancer
Rodrigo Pessoa,Cancer
Caroline Lamarche,Cancer
Monika Treut,Cancer
Lewis William Walt,Cancer
Christine Westermann,Cancer
Ulla Werbrouck,Cancer
Giacomo Agostini,Cancer
Jean Benguigui,Cancer
Dagmar Berghoff,Cancer
Alfred Biolek,Cancer
Bill Blass,Cancer
Benjamin Britten,Cancer
Amy Carter,Cancer
Diane Cilento,Cancer
Sally Kellerman,Cancer
Paris Jackson,Cancer
Kristina Wagner,Cancer
Helen Shaver,Cancer
David Soul,Cancer
Deniece Williams,Cancer
Phoebe Snow,Cancer
Sandy Denny,Cancer
Roland Kaiser,Cancer
Ciccio Ingrassia,Cancer
Dmitri Mendeleev,Cancer
Richard Madden,Leo
Gemma Arterton,Leo
Emma Stone,Leo
Blake Lively,Leo
Zoe Saldana,Leo
Mae Whitman,Leo
Eddie Redmayne,Leo
Laura Prepon,Leo
Daniel Portman,Leo
Lucy Hale,Leo
Holly Marie Combs,Leo
Vanessa Hudgens,Leo
Taissa Farmiga,Leo
Tim Curry,Leo
Selma Blair,Leo
Melissa Joan Hart,Leo
Thomas Mann,Leo
Giovanni Ribisi,Leo
John Goodman,Leo
Adam Levine,Leo
Patrick Demarchelier,Leo
Nick Jonas,Leo
Rachael Leigh Cook,Leo
Heather Graham,Leo
Corey Feldman,Leo
Kyle Richards,Leo
Ashley Olsen,Leo
Demi Lovato,Leo
Eli Roth,Leo
Justin Timberlake,Leo
Michael Bay,Leo
Rajinikanth,Leo
Evanna Lynch,Leo
James Maslow,Leo
Tyson Ritter,Leo
Rutger Hauer,Leo
Jason Biggs,Leo
George Carlin,Leo
Flip Wilson,Leo
Alex Trebek,Leo
Brian Williams,Leo
James Remar,Leo
Eddie Albert,Leo
Luc Besson,Leo
Chris Colfer,Leo
Stephen Fry,Leo
Prince Charles,Leo
"Prince Andrew, Duke of York",Leo
Jake Gyllenhaal,Leo
Johnny Depp,Leo
Patricia Arquette,Leo
Al Pacino,Leo
Yul Brynner,Leo
Meryl Streep,Leo
Jessica Alba,Leo
Kirsten Dunst,Leo
Selena Gomez,Leo
Katie Holmes,Leo
Ashley Judd,Leo
Mayim Bialik,Leo
Jack Nicholson,Leo
Martin Scorsese,Leo
Jessica Lange,Leo
Steven Seagal,Leo
Jason Bateman,Leo
Marilyn Monroe,Leo
Matthew Perry,Leo
Eddie Murphy,Leo
Connie Britton,Leo
Ava Gardner,Leo
Kyle MacLachlan,Leo
Jeremy Irons,Leo
Garry Marshall,Leo
Larry Gatlin,Leo
Giuliano Gemma,Leo
Dick Gephardt,Leo
Jean Giraud,Leo
Lenny Henry,Leo
Ian Holm,Leo
William Hopper,Leo
Darryl Hickman,Leo
Jim Jarmusch,Leo
Isabel Jewell,Leo
Steve Jolley,Leo
Jan Kiepura,Leo
Morgana King,Leo
Miranda Lambert,Leo
Jan Leeming,Leo
Chuan Leekpai,Leo
Denise Lewis,Leo
Vincent Cassel,Leo
Christopher Reeve,Leo
Morgan Fairchild,Leo
James Woods,Leo
Roger Moore,Leo
William Fichtner,Leo
Marilyn Manson,Leo
Steve Martin,Leo
Angela Lansbury,Leo
Teri Hatcher,Leo
Michele Maffei,Leo
Silvio Martinello,Leo
Tim Matheson,Leo
Mark Medlock,Leo
Mahiedine Mekhissi-Benabbad,Leo
Eddy Merckx,Leo
Pierre Mignoni,Leo
Juliet Mills,Leo
Celine Dion,Leo
Don Henley,Leo
Peter Gabriel,Leo
Lindsey Buckingham,Leo
Tina Turner,Leo
Barry Manilow,Leo
Robbie Williams,Leo
Emma Bunton,Leo
Todd Bridges,Leo
Raphaël Varane,Leo
Lucas Pouille,Leo
Richard Gasquet,Leo
Clive Barker,Leo
Dorothy Dandridge,Leo
Maya Angelou,Leo
Bernard Arnault,Leo
Giorgio Armani,Leo
Pierre Omidyar,Leo
Richard Branson,Leo
Herb Alpert,Leo
Jeffrey Tambor,Leo
Josh Groban,Leo
Robert Conrad,Leo
Mike Tyson,Leo
Michael Milken,Leo
George H. W. Bush,Leo
Jiddu Krishnamurti,Leo
Lyndon B. Johnson,Leo
Paramahansa Yogananda,Leo
O. J. Simpson,Leo
Sachin Tendulkar,Leo
George W. Bush,Leo
Alexandre Dumas,Leo
Hulk Hogan,Leo
Dwight Yoakam,Leo
Jeffrey Donovan,Leo
Stephen Crane,Leo
Rudyard Kipling,Leo
Michael Crichton,Leo
John Steinbeck,Leo
John Updike,Leo
Taylor Hanson,Leo
Bret Easton Ellis,Leo
Andrew Lloyd Webber,Leo
Sean Lennon,Leo
Andy Warhol,Leo
Art Garfunkel,Leo
James Brown,Leo
Richie Sambora,Leo
Tony Shalhoub,Leo
Johan Cruyff,Leo
Anne Frank,Leo
Shahid Kapoor,Leo
Manoj Kumar,Leo
Raj Kapoor,Leo
Dilip Kumar,Leo
Raoul Bova,Leo
Alessandro Gassman,Leo
Betty Grable,Leo
Carmen Maura,Leo
Charles Laughton,Leo
Eddie Cibrian,Leo
Emmanuelle Riva,Leo
George Sanders,Leo
Glenn Ford,Leo
Jack Elam,Leo
Liv Ullmann,Leo
Sabine Azéma,Leo
Victor Mature,Leo
Britt Ekland,Leo
Honor Blackman,Leo
Franco Nero,Leo
Sandra Bernhard,Leo
Kevin Dillon,Leo
Naomi Judd,Leo
Arnold Palmer,Leo
Donald Trump,Leo
Judy Collins,Leo
Hugh Downs,Leo
Muhammad Ali,Leo
Yves Montand,Leo
Carol Kane,Leo
Julianne Nicholson,Leo
Lou Diamond Phillips,Leo
Calvin Harris,Leo
Alanis Morissette,Leo
Lara Fabian,Leo
Natalie Cole,Leo
Sarah Brightman,Leo
Anne Murray,Leo
Ella Fitzgerald,Leo
Agnetha Fältskog,Leo
Nancy Sinatra,Leo
Alison Moyet,Leo
Cat Power,Leo
Busta Rhymes,Leo
Evelyn Waugh,Leo
Pat Corley,Leo
Meredith Baxter,Leo
Guillaume Apollinaire,Leo
Milton Berle,Leo
Rosalynn Carter,Leo
Drake (rapper),Leo
Stephanie Seymour,Leo
Lance Bass,Leo
Shaun White,Leo
Sepp Blatter,Leo
James Horner,Leo
Alannah Currie,Leo
Marc Lavoine,Leo
Chris Brown,Leo
Michael Bublé,Leo
Brigitte Nielsen,Leo
Luciano Pavarotti,Leo
Alfred Hitchcock,Leo
Gillian Anderson,Leo
Emily Browning,Leo
Catherine Bach,Leo
Thora Birch,Leo
Mary-Kate Olsen,Leo
Ian McShane,Leo
Barbara Sukowa,Leo
John Hurt,Leo
Amitabh Bachchan,Leo
David McCallum,Leo
Glenn Close,Leo
Wyatt Russell,Leo
Ingrid Bergman,Leo
Aaron Spelling,Leo
Aaron Stanford,Leo
Julie Walters,Leo
Vanessa Redgrave,Leo
Julie Christie,Leo
Thomas Hardy,Leo
Marguerite Yourcenar,Leo
Louise Hay,Leo
Knut Hamsun,Leo
Franz Kafka,Leo
Ian McEwan,Leo
Lex Barker,Leo
Fabrizio Rongione,Leo
Lionel Roux,Leo
Margaret Rhea Seddon,Leo
Susan Strasberg,Leo
Sylvie Testud,Leo
Jim Harbaugh,Leo
Jack Osbourne,Leo
Neale Donald Walsch,Leo
Kirsty Wark,Leo
Bernard Werber,Leo
Toyah Willcox,Leo
Dave Winfield,Leo
Edgar Winter,Leo
Jeanette Winterson,Leo
Klaus Wowereit,Leo
Calpernia Addams,Leo
Sophie Aldred,Leo
Yann Arthus-Bertrand,Leo
Melissa Auf der Maur,Leo
Rick Barry,Leo
Coleman Barks,Leo
David Baltimore,Leo
Michael Ballack,Leo
Danny Baker,Leo
Edmond Baudoin,Leo
Jean Baudrillard,Leo
Pina Bausch,Leo
Alan Bean,Leo
Noah Bean,Leo
Orson Bean,Leo
Louis Beel,Leo
Franco Basaglia,Leo
Andy Bathgate,Leo
Giovanni Battaglin,Leo
Robert Beltran,Leo
Nicola Benedetti,Leo
Charles Berling,Leo
Philippe Bernat-Salles,Leo
Alberto Bevilacqua,Leo
Jean-Marie Bigard,Leo
Cherie Blair,Leo
Paul Bocuse,Leo
Dany Boon,Leo
Tom Bosley,Leo
Patrick Bouchitey,Leo
Franck Bouyer,Leo
Gennaro Bracigliano,Leo
Anne Brochet,Leo
Christopher Brookmyre,Leo
Pierre Brossolette,Leo
Helen Caldicott,Leo
Susan Butcher,Leo
Madeleine Carroll,Leo
Sandy Casar,Leo
Cesar Chavez,Leo
Patrick Chamoiseau,Leo
Richard Clayderman,Leo
Christian Clavier,Leo
Jim Clark,Leo
Don Chipp,Leo
Montgomery Clift,Leo
"Hans-Adam II, Prince of Liechtenstein",Leo
"Charles, Prince of Wales",Leo
Princess Alexandra of Luxembourg,Leo
Princess Alexia of Greece and Denmark,Leo
Carl XVI Gustaf of Sweden,Leo
Buster Keaton,Leo
Stephen Curry,Leo
Randy Orton,Leo
Susan Oliver,Leo
Adrienne Bailon,Leo
Diane Baker,Leo
Scott Pruitt,Leo
Victor Oladipo,Leo
Riccardo Scamarcio,Leo
Georges Pompidou,Leo
Logan Henderson,Leo
Lauren Jauregui,Leo
Ophélie Winter,Leo
Caroline Garcia,Leo
Kristina Mladenovic,Leo
Carson Daly,Leo
Ron Funches,Leo
Abraham Mateo,Leo
Emma Marrone,Leo
Lois Smith,Leo
Tyne Daly,Leo
Alison Sweeney,Leo
Terence Hill,Leo
Robert Urich,Leo
Sybil Danning,Leo
Greg Cipes,Leo
Faith Ford,Leo
Jimmy Dean,Leo
Sylvester McCoy,Leo
Philip Baker Hall,Leo
Caroline Quentin,Leo
Jennifer Jones,Leo
Lee Grant,Leo
Wallace Beery,Leo
Valerie Harper,Leo
Veronica Ferres,Leo
Martina Gedeck,Leo
Sonny Jurgensen,Leo
Waylon Jennings,Leo
Ricky Skaggs,Leo
Renata Tebaldi,Leo
Ginette Reno,Leo
Pablo Picasso,Leo
Deborah Allen,Leo
Sunidhi Chauhan,Leo
Jenny Owen Youngs,Leo
Natacha Atlas,Leo
Ulrich Tukur,Leo
Ken Duken,Leo
Adriana Asti,Leo
Jean Rochefort,Leo
Amanda Ooms,Leo
Maria Schell,Leo
Bernard Montgomery,Leo
Eric Morecambe,Leo
Al Gore,Leo
Mark Phillips,Leo
Anthony Bourdain,Leo
Chrissy Costanza,Leo
Ann Richards,Leo
Ruggero Pasquarelli,Leo
Martin Luther,Leo
Junior Andre,Leo
Steve Perry,Leo
Sébastien Squillaci,Leo
Benoît Costil,Leo
Alexandre Lacazette,Leo
Alastair Sim,Leo
Terry Fox,Leo
Arielle Dombasle,Leo
Blair Fowler,Leo
John Ruskin,Leo
Javed Ali,Leo
Peggy March,Leo
Jacob Perez,Leo
Santi Rodriguez,Leo
Eula Valdez,Leo
Karel Gott,Leo
Clyde Lovellette,Leo
Romeo Beckham,Leo
Zelda Fitzgerald,Leo
"Tyler, the Creator",Leo
Iris Chang,Leo
Aleister Crowley,Leo
Ayn Rand,Leo
Michel Platini,Leo
Ronaldo,Leo
Chris Farley,Leo
Bobby Fischer,Leo
Sri Aurobindo,Leo
Francesca Eastwood,Leo
Tanya Tucker,Leo
Laura Nyro,Leo
Jeff Buckley,Leo
Lisa Lopes,Leo
Anne McCaffrey,Leo
Roberto Bolle,Leo
Marina Tsvetaeva,Leo
Andy Kaufman,Leo
Anne Tyler,Leo
H. A. Rey,Leo
Ludwig Bemelmans,Leo
Alex Haley,Leo
Antonella Gambotto-Burke,Leo
Paul Hindemith,Leo
Alistair MacLean,Leo
Lisa Marie Presley,Leo
Nino Benvenuti,Leo
Luciano Berio,Leo
Summer Bishil,Leo
Harvey Brooks,Leo
Rosalind Cash,Leo
Lucie Arnaz,Leo
Jürgen Klinsmann,Leo
Emma Kenney,Leo
Jaclyn Hill,Leo
Manny MUA,Leo
Earl Thomas Conley,Leo
Rio Reiser,Leo
Helen Vita,Leo
Helmut Qualtinger,Leo
Tiziano Ferro,Leo
John McCook,Leo
Steve Forrest,Leo
Dylan Klebold,Leo
Bruno Cheyrou,Leo
Paulo Castagnoli,Leo
Jenny Ryan,Leo
Kelly Miller,Leo
Ottmar Liebert,Leo
Richard Carpenter,Leo
Sarah Stewart,Leo
Peter Kraus,Leo
"Camilla, Duchess of Cornwall",Leo
Daniel DeWeldon,Leo
Frida Kahlo,Leo
Ariel Winter,Virgo
Charlize Theron,Virgo
Chris Pine,Virgo
Elizabeth Olsen,Virgo
Jane Krakowski,Virgo
Lauren Graham,Virgo
Michael Shannon,Virgo
Michael B. Jordan,Virgo
Sarah Paulson,Virgo
Seann William Scott,Virgo
Keri Russell,Virgo
Kevin Hart,Virgo
Jason Ritter,Virgo
Paul Walker,Virgo
Zack Snyder,Virgo
Shirley MacLaine,Virgo
Brooke Shields,Virgo
Helen Hunt,Virgo
Sophie Marceau,Virgo
Kris Jenner,Virgo
Yami Gautam,Virgo
Andy Samberg,Virgo
Donald Glover,Virgo
Chris Noth,Virgo
Lisa Edelstein,Virgo
Doris Day,Virgo
Patrick Schwarzenegger,Virgo
Jasmine Guy,Virgo
Ted Danson,Virgo
Warren Beatty,Virgo
Conan O'Brien,Virgo
Dave Chappelle,Virgo
Eddie Izzard,Virgo
Dana Carvey,Virgo
Chelsea Handler,Virgo
Jen Kirkman,Virgo
Walt Disney,Virgo
Dolly Parton,Virgo
Tom Skerritt,Virgo
Anne Dudek,Virgo
Adrienne Barbeau,Virgo
Glenn Frey,Virgo
Emma Watson,Virgo
Ryan Reynolds,Virgo
Rumer Willis,Virgo
Keanu Reeves,Virgo
Eva Green,Virgo
James Spader,Virgo
Elizabeth Banks,Virgo
Tom Hanks,Virgo
Bruce Willis,Virgo
Will Ferrell,Virgo
Kevin Costner,Virgo
Uma Thurman,Virgo
Steve Carell,Virgo
Rachel Bilson,Virgo
Sean Astin,Virgo
Debra Paget,Virgo
Sharon Stone,Virgo
Patrick Swayze,Virgo
Julie Andrews,Virgo
Sissy Spacek,Virgo
Woody Allen,Virgo
Faye Dunaway,Virgo
Renée Zellweger,Virgo
Steve Gibb,Virgo
Terry Gilliam,Virgo
Annie Girardot,Virgo
Rudy Giuliani,Virgo
Lillian Gish,Virgo
Enrico Glori,Virgo
Lorne Greene,Virgo
Alasdair Gray,Virgo
Johannes Heesters,Virgo
Byron Janis,Virgo
Alfred Jarry,Virgo
Steve Jobs,Virgo
Brian Jones,Virgo
Yasunari Kawabata,Virgo
Hocine Khalfi,Virgo
Rajesh Khanna,Virgo
David Knopfler,Virgo
Ronnie Knox,Virgo
Robert Koch,Virgo
Paul Langevin,Virgo
Louis Lavelle,Virgo
Samuel Le Bihan,Virgo
Ruta Lee,Virgo
Mel Lisboa,Virgo
Helmut Lotti,Virgo
William Holden,Virgo
Lou Ferrigno,Virgo
Brad Garrett,Virgo
Barbara Stanwyck,Virgo
John Malkovich,Virgo
Kathy Bates,Virgo
Tim Robbins,Virgo
John Barrowman,Virgo
Forest Whitaker,Virgo
Julie Delpy,Virgo
Don Johnson,Virgo
Shannen Doherty,Virgo
Donald Sutherland,Virgo
Kurt Cobain,Virgo
Olivier Martinez,Virgo
Loreena McKennitt,Virgo
Marco Mengoni,Virgo
Sarah Miles,Virgo
Melba Moore,Virgo
Yolande Moreau,Virgo
Harry Hamlin,Virgo
Gary Busey,Virgo
John Cleese,Virgo
Paul McCartney,Virgo
Rod Stewart,Virgo
Donna Summer,Virgo
Pete Townshend,Virgo
Johnny Hallyday,Virgo
Joey McIntyre,Virgo
Karim Benzema,Virgo
Andy Murray,Virgo
Charles Dickens,Virgo
Jeb Bush,Virgo
Bobby Jindal,Virgo
Viktor Frankl,Virgo
Michelle Keegan,Virgo
Marlene Dietrich,Virgo
Diedrich Bader,Virgo
Bill Clinton,Virgo
Henry Fonda,Virgo
Marcel Pagnol,Virgo
Jackie Collins,Virgo
Jack Kerouac,Virgo
Ernest Hemingway,Virgo
Harlan Ellison,Virgo
Leah Pipes,Virgo
Carol Ann Duffy,Virgo
Paul Simon,Virgo
Roy Orbison,Virgo
Tiger Woods,Virgo
Roger Federer,Virgo
Arjen Robben,Virgo
Nawazuddin Siddiqui,Virgo
R. D. Burman,Virgo
Olivia de Havilland,Virgo
Catherine Frot,Virgo
Darsheel Safary,Virgo
Gena Rowlands,Virgo
Gene Kelly,Virgo
Greer Garson,Virgo
Helen Hayes,Virgo
James Cagney,Virgo
Karl Malden,Virgo
Linda Darnell,Virgo
Paul Muni,Virgo
Peter Sellers,Virgo
Tallulah Bankhead,Virgo
Sandrine Bonnaire,Virgo
Van Johnson,Virgo
Zsa Zsa Gabor,Virgo
Kelly Ripa,Virgo
Lindsey Vonn,Virgo
Audrina Patridge,Virgo
Léa Seydoux,Virgo
Debbie Allen,Virgo
Edward Furlong,Virgo
Adèle Exarchopoulos,Virgo
Bobby Cannavale,Virgo
Woody Herman,Virgo
James Taylor,Virgo
Patty Duke,Virgo
Justin Trudeau,Virgo
Isadora Duncan,Virgo
Robert Silverberg,Virgo
Burgess Meredith,Virgo
Steve Wozniak,Virgo
Loni Anderson,Virgo
Howard Hughes,Virgo
Franklin D. Roosevelt,Virgo
Jean Louisa Kelly,Virgo
Shelley Long,Virgo
Robert Englund,Virgo
Benjamin Bratt,Virgo
Pat Brown,Virgo
David Lovering,Virgo
Annie Lennox,Virgo
Loretta Lynn,Virgo
Peggy Lee,Virgo
Melissa Etheridge,Virgo
Sheena Easton,Virgo
Joan Osborne,Virgo
Kim Carnes,Virgo
Simone Simons,Virgo
Tamia,Virgo
Billy Corgan,Virgo
Leonard Cohen,Virgo
Brian Molko,Virgo
David Byrne,Virgo
Charlie Burchill,Virgo
Jim Kerr,Virgo
Dave Navarro,Virgo
Richard Matheson,Virgo
Erle Stanley Gardner,Virgo
Rainer Maria Rilke,Virgo
Betty Ford,Virgo
Brian Keith,Virgo
Steve Norman,Virgo
Doug Benson,Virgo
Michael McIntyre,Virgo
Richard Belzer,Virgo
Suzi Quatro,Virgo
Fernando Alonso,Virgo
Kenny Chesney,Virgo
William Friedkin,Virgo
Lisa Ling,Virgo
Gary Vaynerchuk,Virgo
Hugh Hefner,Virgo
Josephine Baker,Virgo
Pete Shelley,Virgo
Penn Jillette,Virgo
Samir Nasri,Virgo
Olivia Newton-John,Virgo
Vincenzo Nibali,Virgo
Eva Padberg,Virgo
Rita Pavone,Virgo
Christina Ricci,Virgo
Marion Cotillard,Virgo
Jaime King,Virgo
Adrien Brody,Virgo
Coretta Scott King,Virgo
Fred Savage,Virgo
Beverly D'Angelo,Virgo
Audrey Tautou,Virgo
Malala Yousafzai,Virgo
Andrea Bocelli,Virgo
Antony Starr,Virgo
John Carpenter,Virgo
Lesley-Anne Down,Virgo
Jane Austen,Virgo
Louisa May Alcott,Virgo
Kurt Vonnegut,Virgo
Albert Camus,Virgo
Renzo Piano,Virgo
Valentino Rossi,Virgo
Jacques Rogge,Virgo
Jerry Rubin,Virgo
Martina Stella,Virgo
Candide Thovex,Virgo
Nigel Farage,Virgo
Jimmy Webb,Virgo
Johnny Whitaker,Virgo
Mats Wilander,Virgo
Judy Winter,Virgo
Dimitri Yachvili,Virgo
Lena Zavaroni,Virgo
Salvatore Adamo,Virgo
Mathieu Amalric,Virgo
Carlo Ancelotti,Virgo
Jeff Bagwell,Virgo
Fabien Barthez,Virgo
Rubens Barrichello,Virgo
Jean-Louis Barrault,Virgo
Jimmy Barnes,Virgo
Sirimavo Bandaranaike,Virgo
Patrick Balkany,Virgo
Jean-Louis Beffa,Virgo
Richard Basehart,Virgo
Tony Benn,Virgo
Jean-Luc Bennahmias,Virgo
Nate Berkus,Virgo
Mathieu Berson,Virgo
Bernardo Bertolucci,Virgo
Jean-Luc Bideau,Virgo
Oliver Bierhoff,Virgo
Umberto Bindi,Virgo
Traci Bingham,Virgo
Dominique Blanc,Virgo
Lino Ventura,Virgo
Andrea Bonomi,Virgo
Edwina Booth,Virgo
Vital Borkelmans,Virgo
Michel Bouquet,Virgo
Ludovic Bource,Virgo
Neville Brand,Virgo
Rossano Brazzi,Virgo
Tim Brooke-Taylor,Virgo
James Broughton,Virgo
Bernard Campan,Virgo
Laurent Cantet,Virgo
Roberto Capucci,Virgo
Gretchen Carlson,Virgo
Michel Camdessus,Virgo
Jean-Pierre Cassel,Virgo
Anthony Charteau,Virgo
Carol Channing,Virgo
Bob Champion,Virgo
Alain Chabat,Virgo
Eleanor Catton,Virgo
Joe Clark,Virgo
Van Cliburn,Virgo
Prince Felix of Denmark,Virgo
"Princess Astrid of Belgium, Archduchess of Austria-Este",Virgo
Uzo Aduba,Virgo
Bella Hadid,Virgo
Bradley Wiggins,Virgo
Karla Souza,Virgo
Gregory Harrison,Virgo
Stephanie Stumph,Virgo
Carolyn Jones,Virgo
Clint Walker,Virgo
Kristian Alfonso,Virgo
Tom Everett Scott,Virgo
Jamie Chung,Virgo
Rue McClanahan,Virgo
Winston Churchill,Virgo
Chris Stapleton,Virgo
Rachel Zoe,Virgo
Nicolas Sarkozy,Virgo
Ricky Williams,Virgo
Amanda Cerny,Virgo
Finn Wolfhard,Virgo
Sara Benincasa,Virgo
Robert Guillaume,Virgo
Victoria Woodhull,Virgo
Raja Kumari,Virgo
Axwell,Virgo
Ruth Connell,Virgo
Ornella Muti,Virgo
Jason Connery,Virgo
Wim Wenders,Virgo
Benjamin Millepied,Virgo
Jackie Coogan,Virgo
Robson Green,Virgo
Jamie Farr,Virgo
Brian Blessed,Virgo
Federico Fellini,Virgo
Constance Towers,Virgo
Wanda Hendrix,Virgo
Erik Thomson,Virgo
Paula Prentiss,Virgo
Betty Buckley,Virgo
Ronald Colman,Virgo
Elke Sommer,Virgo
Ted Knight,Virgo
Bud Spencer,Virgo
John Agar,Virgo
Jeanne Balibar,Virgo
Sylvia Kristel,Virgo
Maureen Stapleton,Virgo
Nanette Fabray,Virgo
Doug Flutie,Virgo
Jason Witten,Virgo
Clint Black,Virgo
Gene Autry,Virgo
Rozonda Thomas,Virgo
Nina Hagen,Virgo
Plácido Domingo,Virgo
Kaye Ballard,Virgo
Ornella Vanoni,Virgo
Sabrina Salerno,Virgo
Janis Ian,Virgo
Grace Potter,Virgo
Della Reese,Virgo
Scotty McCreery,Virgo
Christina Plate,Virgo
Hannah Herzsprung,Virgo
Thomas Anders,Virgo
Virna Lisi,Virgo
Roberto Rossellini,Virgo
Dino Risi,Virgo
Raf Vallone,Virgo
Mariangela Melato,Virgo
Alida Chelli,Virgo
Liselotte Pulver,Virgo
Florence Nightingale,Virgo
Hoodie Allen,Virgo
Michio Kaku,Virgo
Paul Dirac,Virgo
Julie Gayet,Virgo
Troy Gentry,Virgo
Morris K. Udall,Virgo
Greg Gutfeld,Virgo
Theodor W. Adorno,Virgo
Edwin Hubble,Virgo
Al Jolson,Virgo
Mikaël Silvestre,Virgo
Rémy Vercoutre,Virgo
Paul Azinger,Virgo
Yukio Mishima,Virgo
Patrick Kane,Virgo
Liza Soberano,Virgo
Henry Ford,Virgo
Lizzie Borden,Virgo
Bill Belichick,Virgo
Shraddha Kapoor,Virgo
Eric Zemmour,Virgo
Shannon Miller,Virgo
Richard Nixon,Virgo
Trisha Paytas,Virgo
Pete Buttigieg,Virgo
Gavin Newsom,Virgo
Vanessa Marcil,Virgo
Cybill Shepherd,Virgo
Franco Malerba,Virgo
Oscar Wilde,Virgo
Richard Bach,Virgo
J. R. R. Tolkien,Virgo
Ian Fleming,Virgo
Mike Gordon,Virgo
Carrie Snodgress,Virgo
José Ferrer,Virgo
Igor Stravinsky,Virgo
Madeleine L'Engle,Virgo
Elizabeth Barrett Browning,Virgo
Gwendolyn Brooks,Virgo
Gioia Bruno,Virgo
Edward Zorinsky,Virgo
Claudio Bisio,Virgo
Mauro Bolognini,Virgo
Ian Charleson,Virgo
Dwayne Johnson,Libra
Benedict Cumberbatch,Libra
Ginnifer Goodwin,Libra
Idris Elba,Libra
Colton Haynes,Libra
Sam Rockwell,Libra
Jean-Claude Van Damme,Libra
Keith Stanfield,Libra
Parker Posey,Libra
Josh Holloway,Libra
Matt Bomer,Libra
Hayden Panettiere,Libra
Emma Fuhrmann,Libra
Hans Zimmer,Libra
Lee Majors,Libra
Hayley Kiyoko,Libra
Jill Ireland,Libra
Chevy Chase,Libra
Sally Field,Libra
Dana Delany,Libra
Jean Seberg,Libra
Aaron Eckhart,Libra
Asia Argento,Libra
Debra Winger,Libra
Tyler Perry,Libra
Erika Eleniak,Libra
Judge Reinhold,Libra
Brian Austin Green,Libra
Kevin Sorbo,Libra
Redd Foxx,Libra
Bob Newhart,Libra
Bob Hope,Libra
Bill Maher,Libra
Elizabeth Montgomery,Libra
Julian McMahon,Libra
Kelly Rutherford,Libra
Mahershala Ali,Libra
Jesse Metcalfe,Libra
Martti Ahtisaari,Libra
Jimmy Carter,Libra
Princess Eugenie of York,Libra
Princess Anne,Libra
Leonardo DiCaprio,Libra
Jennifer Aniston,Libra
Rose Byrne,Libra
Kate Winslet,Libra
Gerard Butler,Libra
James McAvoy,Libra
Denzel Washington,Libra
Ewan McGregor,Libra
Kelly Brook,Libra
James Garner,Libra
Vince Vaughn,Libra
Jennifer Carpenter,Libra
Frank Sinatra,Libra
Natalie Wood,Libra
Ellen Burstyn,Libra
Lea Thompson,Libra
Courtney Love,Libra
John Ritter,Libra
Roman Polanski,Libra
Geena Davis,Libra
Crystal Gayle,Libra
Peaches Geldof,Libra
Janet Gaynor,Libra
Barry Gibb,Libra
Coleen Gray,Libra
Hank Greenberg,Libra
Andy Griffith,Libra
Gus Grissom,Libra
Scott Grimes,Libra
Wolke Hegenbarth,Libra
Justine Henin,Libra
Scott Hicks,Libra
Max Jacob,Libra
Derek Jacobi,Libra
Norman Jewison,Libra
Andrew Johnson,Libra
Anthony Kiedis,Libra
Audrey Landers,Libra
Jack Layton,Libra
Christopher Lee,Libra
Louis Leterrier,Libra
Rock Hudson,Libra
Natasha Richardson,Libra
